"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
xx19,Focusrite,Saffire Pro 40,Interfaz de audio Firewire,Electronica audio video otros,,"4,97",,SI,"0,02",60,34,12,xx19,339,339,xx19,,,,,,,#REF!,"(1) Saffire Pro 40
 (1) Software Download
 (1) Firewire Cable
 (1) Operating Instructions",si,,,,,,,,,,,,xx19,Focusrite,Saffire Pro 40,Focusrite Saffire Pro 40,Recording,Interfaces de audio,Interfaz de audio Firewire,,,,,,
xx6,Focusrite,Scarlett 18i8,Placa de audio Usb 2.0,Placas USB - Firewire,,"2,365",,SI,"0,01",28,28,11,xx6,241,235,xx6,,,,,,,#REF!,(1) Focusrite Scarlett 18i8 (1) USB Cable(1) Software Download(1) Manual,si,,,,,,,,,,,,xx6,Focusrite,Scarlett 18i8,Focusrite Scarlett 18i8,Recording,Interfaces de audio,Placa de audio Usb 2.0,,,,,,
xx54,Focusrite,iTrack Solo,Placa de audio Usb,Placas USB - Firewire,,"0,8",,SI,0,21,16,9,xx54,72,72,xx54,,,,,,,#REF!,,,,,,,,,,,,,,xx54,Focusrite,iTrack Solo,Focusrite iTrack Solo,"fotografia, deporte y hogar",,Placa de audio Usb,,,,,,
xx55,Focusrite,Forte USB,Placa de audio Usb,Placas USB - Firewire,,"1,375",,SI,0,18,24,"10,5",xx55,450,450,xx55,,,,,,,#REF!,"(1) Focusrite Forte
 (1) Breackout cable
 (1) USB cable
 (1) Guia de inicio
 (1) Software Registration Card",si,,,,,,,,,,,,xx55,Focusrite,Forte USB,Focusrite Forte USB,"fotografia, deporte y hogar",,Placa de audio Usb,,,,,,
mm23,Focusrite,Scarlett solo Studio,,Electronica audio video otros,,"2,005",,,"0,01","44,5",24,12,mm23,161,143,mm23,,,,,,,#REF!,,,,,,,,,,,,,,mm23,Focusrite,Scarlett solo Studio,Focusrite Scarlett solo Studio,Recording,Interfaces de audio,,,,,,,
xx43,GoPro,Hero 4 Silver,Camara Gopro,Gopro,,"0,61",1,SI,0,11,25,10,xx43,307,330,xx43,,,,,,,#REF!,"* Cámara HERO4 Silver con pantalla táctil integrada
 - Carcasa estándar 131’(40m)
 - Puertas traseras Skeleton + táctil
 - Batería recargable
 - Soporte adhesivo curvo
 - Soporte adhesivo plano
 - Hebillas de fácil apertura
 - Brazo de pivote de 3 modos (hardware de montaje)
 - Cable USB",si,,,,,,,,,,,,xx43,GoPro,Hero 4 Silver,GoPro Hero 4 Silver,Recording,Interfaces de audio,Camara Gopro,,,,,,
xx44,GoPro,Hero 4 Black,Camara Gopro,Gopro,,"0,61",1,SI,0,11,25,10,xx44,388,360,xx44,,,,,,,#REF!,"* Cámara HERO4 Black
 - Carcasa estándar 131’(40m)
 - Puerta trasera Skeleton
 - Batería recargable
 - Soporte adhesivo curvo
 - Soporte adhesivo plano
 - Hebillas de fácil apertura
 - Brazo de pivote de 3 modos (hardware de montaje)
 - Cable USB",si,,,,,,,,,,,,xx44,GoPro,Hero 4 Black,GoPro Hero 4 Black,Recording,Interfaces de audio,Camara Gopro,,,,,,
xx60,Lexicon,Alpha,Placa de audio Usb,Placas USB - Firewire,,"1,025",,SI,"0,01","22,5",23,"9,7",xx60,50,50,xx60,,,,,,,#REF!,,,,,,,,,,,,,,xx60,Lexicon,Alpha,Lexicon Alpha,,,Placa de audio Usb,,,,,,
xx66,Lexicon,Omega,Placa de audio Usb 2.0,Placas USB - Firewire,,"2,29",,SI,"0,01","22,3","32,3","14,5",xx66,97,97,xx66,,,,,,,#REF!,,,,,,,,,,,,,,xx66,Lexicon,Omega,Lexicon Omega,Guitarra y Bajo,,Placa de audio Usb 2.0,,,,,,
xx67,Lexicon,Lambda,Placa de audio Usb 2.0,Placas USB - Firewire,,"1,445",,SI,"0,01","23,5","22,3","13,5",xx67,71,100,xx67,,,,,,,#REF!,,,,,,,,,,,,,,xx67,Lexicon,Lambda,Lexicon Lambda,Guitarra y Bajo,,Placa de audio Usb 2.0,,,,,,
